,URL,Description,Keywords
0,https://lordjones.com/,"Lord Jones provides the World's Finest CBD Products, including CBD topicals, body lotions & creams, CBD oils & tinctures, gel capsules, hemp-derived confections, gumdrops, and more.",
1,https://www.charlottesweb.com/,Charlotte’s Web CBD ( cannabidiol ) oils contain plant-based cannabinoids and other beneficial phytocompounds for a full spectrum of plant-powered goodness.,
2,https://www.thecbdistillery.com/,"Buy CBD Oil for Sale Online at CBDistillery, America's most trusted provider of hemp CBD, CBD Oil Isolate, and other CBD Products. Buy CBD Oil online.",
3,https://medterracbd.com/,"Medterra takes pride in providing our customers with the highest quality pure CBD, grown and processed in the USA.","cbd, ,  cbd,  cbd,  gel capsule,  hemp,  kentucky,  kentucky department,  oil,  organic oil,  products,  purest cbd oil,  purest oil,  registration,  usa,  vaporizer,  wholesale,  wholesale member,  zero thc"
4,https://www.diamondcbd.com/,"Shop from America's most trusted CBD Oil and Delta 8 THC manufacturer of hemp based oils, gummies, edibles, creams, topicals, and more.  Hemp derived, all-natural CBD with no THC and independent 3rd party lab reports.","cbd, oils, hemp oil, hemp edibles, cbd edibles, cbd tincture, cbd gummies"
5,https://www.pluscbdoil.com/,"PlusCBD™ Oil is the #1 selling brand for natural CBD oil products including CBD gummies, CBD capsules, CBD drops, balm & more! ",
6,https://bluebirdbotanicals.com/,Bluebird Botanicals (est. 2012) is an award winning Hemp Extract and CBD company. Our hemp is now being grown and processed in the great state of Colorado.,
7,https://www.elixinol.com/,"With more than 25 years of experience, Elixinol is the leading manufacturer of the highest quality hemp oil extracts and CBD products. Shop CBD products today.","cbd products, buy cbd oil, cbd oil for sale, pure cbd oil, buy cbd online, elixinol cbd, effective cbd products, best cbd products, elixinol cbd"
8,https://www.lazarusnaturals.com/,"Lazarus Naturals is a trusted maker of high-quality CBD oils, tinctures and isolates. Our CBD extracts are made in-house, from plant to bottle.","lazarus naturals, cbd oli, cdb extracts"
9,https://cbdfx.com/,"CBDfx is a market leader in the CBD industry and was founded on the belief that everyone should have access to the remarkable benefits of CBD. With thousands of happy customers, we are motivated to keep developing revolutionary products made with the best quality ingredients available.",
10,https://greenroads.com/,"Shop pharmacist-formulated, lab-tested CBD oils, topicals, edibles, beverages, spa goods & more from Green Roads, a pharmacist-founded, award-winning company.",
